Symbol,Company Name,Industry,Market Cap
BLFY,Blue Foundry Bancorp,Banks - Regional,249248000
BLIN,"Bridgeline Digital, Inc.",Software - Infrastructure,8021552
BLK,"BlackRock, Inc.",Asset Management,118120003240
BLKB,"Blackbaud, Inc.",Software - Application,4446070656
BLMN,"Bloomin' Brands, Inc.",Restaurants,2284944480
BLND,"Blend Labs, Inc.",Software - Application,625461357
BLNK,Blink Charging Co.,Engineering & Construction,173912640
BLRX,BioLineRx Ltd.,Biotechnology,100690621
BLTE,"Belite Bio, Inc",Biotechnology,1269565224
BLUA,BlueRiver Acquisition Corp.,Shell Companies,106196810
BLUE,"bluebird bio, Inc.",Biotechnology,244782340
BLX,"Banco Latinoamericano de Comercio Exterior, S. A.",Banks - Regional,841165793
BLZE,"Backblaze, Inc.",Software - Infrastructure,275739743
BMA,Banco Macro S.A.,Banks - Regional,2848892859
BMBL,Bumble Inc.,Software - Application,2630104044
BMEA,"Biomea Fusion, Inc.",Biotechnology,516502049
BMI,"Badger Meter, Inc.",Scientific & Technical Instruments,4565203764
BMO,Bank of Montreal,Banks - Diversified,69171109020
BMR,Beamr Imaging Ltd.,Software - Application,18164883
BMRA,"Biomerica, Inc.",Medical Devices,15309338
BMRC,Bank of Marin Bancorp,Banks - Regional,335536026
BMRN,BioMarin Pharmaceutical Inc.,Biotechnology,17714126720
BMTX,"BM Technologies, Inc.",Software - Application,24333295
BMY,Bristol-Myers Squibb Company,Drug Manufacturers - General,100863053200
BN,Brookfield Corporation,Asset Management,62508310800
BNED,"Barnes & Noble Education, Inc.",Specialty Retail,51023520
BNGO,"Bionano Genomics, Inc.",Diagnostics & Research,51269196
BNIX,Bannix Acquisition Corp.,Shell Companies,59116293
BNL,"Broadstone Net Lease, Inc.",REIT - Diversified,3136554750
BNOX,Bionomics Limited,Biotechnology,8486027
BNR,Burning Rock Biotech Limited,Diagnostics & Research,94688576
BNRE,Brookfield Reinsurance Ltd.,Insurance - Reinsurance,4521525032
BNRG,Brenmiller Energy Ltd,Utilities - Renewable,12460942
BNS,The Bank of Nova Scotia,Banks - Diversified,55663736934
BNTC,Benitec Biopharma Inc.,Biotechnology,7260442
BNTX,BioNTech SE,Biotechnology,23726384055
BNZI,Banzai International Inc,Software - Application,43900000
BOC,Boston Omaha Corporation,Advertising Agencies,495871232
BOCN,Blue Ocean Acquisition Corp.,Shell Companies,257788000
BODY,"The Beachbody Company, Inc.",Internet Content & Information,51852372
BOF,BranchOut Food Inc.,Packaged Foods,4489118
BOH,Bank of Hawaii Corporation,Banks - Regional,2710593414
BOKF,BOK Financial Corporation,Banks - Regional,5544079064
BOLT,"Bolt Biotherapeutics, Inc.",Biotechnology,43660785
BON,Bon Natural Life Limited,Packaged Foods,5845081
BOOM,DMC Global Inc.,Oil & Gas Equipment & Services,344839920
BOOT,"Boot Barn Holdings, Inc.",Apparel Retail,2215865646
BORR,Borr Drilling Limited,Oil & Gas Drilling,1781667108
BOSC,B.O.S. Better Online Solutions Ltd.,Communication Equipment,16439280
BOTJ,"Bank of the James Financial Group, Inc.",Banks - Regional,54202046
BOWL,Bowlero Corp.,Entertainment,1800324487
BOWN,Bowen Acquisition Corp,Shell Companies,94873275
BOX,"Box, Inc.",Software - Infrastructure,3820956723
BOXL,Boxlight Corporation,Communication Equipment,7726947
BP,BP p.l.c.,Oil & Gas Integrated,96658317811
BPMC,Blueprint Medicines Corporation,Biotechnology,5046760894
BPOP,"Popular, Inc.",Banks - Regional,5956345720
BPRN,Princeton Bancorp Inc,Banks - Regional,217228712
BPT,BP Prudhoe Bay Royalty Trust,Oil & Gas Refining & Marketing,58422000
BPTH,"Bio-Path Holdings, Inc.",Biotechnology,5064607
BPTS,Biophytis S.A.,Biotechnology,5705656
BQ,Boqii Holding Limited,Specialty Retail,2453014
BR,"Broadridge Financial Solutions, Inc.",Information Technology Services,24279987860
BRAC,Broad Capital Acquisition Corp.,Shell Companies,52830032
BRAG,Bragg Gaming Group Inc.,Electronic Gaming & Multimedia,102750900
BRBR,"BellRing Brands, Inc.",Packaged Foods,7072632480
BRBS,"Blue Ridge Bankshares, Inc.",Banks - Regional,59131072
BRC,Brady Corporation,Security & Protection Services,2939980874
BRCC,BRC Inc.,Packaged Foods,907579522
BRDG,Bridge Investment Group Holdings Inc.,Asset Management,2411678941
BREA,Brera Holdings PLC,Entertainment,24748898
BREZ,Breeze Holdings Acquisition Corp.,Shell Companies,50989461
BRFH,"Barfresh Food Group, Inc.",Beverages - Non-Alcoholic,17406000
BRFS,BRF S.A.,Packaged Foods,4565935673
BRID,Bridgford Foods Corporation,Packaged Foods,98029764
BRK.A,Berkshire Hathaway Inc.,Insurance - Diversified,800763606368
BRK.B,Berkshire Hathaway Inc.,Insurance - Diversified,800788082742
BRKH,Burtech Acquisition Corp.,Shell Companies,266468251
BRKL,"Brookline Bancorp, Inc.",Banks - Regional,975750876
BRKR,Bruker Corporation,Medical Devices,10090162483
BRLT,"Brilliant Earth Group, Inc.",Luxury Goods,307676675
BRN,"Barnwell Industries, Inc.",Oil & Gas E&P,24700247
BRNS,Barinthus Biotherapeutics plc,Biotechnology,117567112
BRO,"Brown & Brown, Inc.",Insurance Brokers,21427383420
BROG,Brooge Energy Limited,Oil & Gas Midstream,214806132
BROS,Dutch Bros Inc.,Restaurants,4835226642
BRP,"BRP Group, Inc.",Insurance Brokers,3029899833
BRSH,Bruush Oral Care Inc.,Household & Personal Products,212139
BRSP,"BrightSpire Capital, Inc.",REIT - Diversified,947590650
BRT,BRT Apartments Corp.,REIT - Residential,336780804
BRTX,"BioRestorative Therapies, Inc.",Biotechnology,7484003
BRX,Brixmor Property Group Inc.,REIT - Retail,6805493440
BRY,Berry Corporation,Oil & Gas E&P,503184220
BRZE,"Braze, Inc.",Software - Application,5487722875
BSAC,Banco Santander-Chile,Banks - Regional,8772161449
BSBK,Bogota Financial Corp.,Banks - Regional,108884041
BSBR,Banco Santander (Brasil) S.A.,Banks - Regional,44839106442
BSET,"Bassett Furniture Industries, Incorporated","Furnishings, Fixtures & Appliances",140943440
BSFC,Blue Star Foods Corp.,Packaged Foods,2448737
BSGM,"BioSig Technologies, Inc.",Medical Devices,22841175
BSIG,BrightSphere Investment Group Inc.,Asset Management,877481234
BSM,"Black Stone Minerals, L.P.",Oil & Gas E&P,3416553570
BSRR,Sierra Bancorp,Banks - Regional,321530553
BSVN,Bank7 Corp.,Banks - Regional,235170560
BSX,Boston Scientific Corporation,Medical Devices,88982885200
BSY,"Bentley Systems, Incorporated",Software - Application,15068355980
BTAI,"BioXcel Therapeutics, Inc.",Biotechnology,78117300
BTBD,"BT Brands, Inc.",Restaurants,13554080
BTBT,"Bit Digital, Inc.",Capital Markets,221924907
BTCM,BIT Mining Limited,Information Technology Services,42893478
BTCS,BTCS Inc.,Capital Markets,21559800
BTCT,BTC Digital Ltd.,Education & Training Services,8546198
BTCY,"Biotricity, Inc.",Medical Devices,8944023
BTDR,Bitdeer Technologies Group,Software - Application,756355860
BTE,Baytex Energy Corp.,Oil & Gas E&P,2561562000
BTG,B2Gold Corp.,Gold,3732492400
BTI,British American Tobacco p.l.c.,Tobacco,66134009583
BTM,Bitcoin Depot Inc.,Capital Markets,30481210
BTMD,biote Corp.,Medical Care Facilities,237858202
BTOG,Bit Origin Limited,Packaged Foods,13832250
BTTR,Better Choice Company Inc.,Packaged Foods,7702672
BTTX,"Better Therapeutics, Inc.",Biotechnology,9972340
BTU,Peabody Energy Corporation,Thermal Coal,3356160000
BUD,Anheuser-Busch InBev SA/NV,Beverages - Brewers,124060320700
BUJA,Bukit Jalil Global Acquisition 1 Ltd,Shell Companies,80955647
BUR,Burford Capital Limited,Asset Management,3191803061
BURL,"Burlington Stores, Inc.",Apparel Retail,12632763234
BURU,"Nuburu, Inc.",Specialty Industrial Machinery,5209475
BUSE,First Busey Corporation,Banks - Regional,1338370558
BV,"BrightView Holdings, Inc.",Specialty Business Services,840288160
BVN,Compania de Minas Buenaventura S.A.,Other Precious Metals & Mining,3715829927
BVS,Bioventus Inc.,Medical Devices,378799852
BW,"Babcock & Wilcox Enterprises, Inc.",Specialty Industrial Machinery,114395392
BWA,BorgWarner Inc.,Auto Parts,7808527100
BWAQ,Blue World Acquisition Corporation,Shell Companies,98369818
BWAY,BrainsWay Ltd.,Medical Devices,103715664
BWB,"Bridgewater Bancshares, Inc.",Banks - Regional,381648178
BWEN,"Broadwind, Inc.",Specialty Industrial Machinery,53114904
BWFG,"Bankwell Financial Group, Inc.",Banks - Regional,230543628
BWMN,Bowman Consulting Group Ltd.,Consulting Services,464067648
BWMX,"Betterware de México, S.A.P.I. de C.V.",Specialty Retail,454514970
BWXT,"BWX Technologies, Inc.",Aerospace & Defense,7347562712
BX,Blackstone Inc.,Asset Management,146317326649
BXC,BlueLinx Holdings Inc.,Building Products & Equipment,1006123872
BXMT,"Blackstone Mortgage Trust, Inc.",REIT - Mortgage,3549338800
BXP,"Boston Properties, Inc.",REIT - Office,10938718000
BY,"Byline Bancorp, Inc.",Banks - Regional,1015976108
BYD,Boyd Gaming Corporation,Resorts & Casinos,6281768199
BYFC,Broadway Financial Corporation,Banks - Regional,59105344
BYND,"Beyond Meat, Inc.",Packaged Foods,466953404
BYNO,byNordic Acquisition Corporation,Shell Companies,112833456
BYON,"Beyond, Inc.",Internet Retail,1116765785
BYRN,Byrna Technologies Inc.,Aerospace & Defense,141751650
BYSI,BeyondSpring Inc.,Biotechnology,33708271
BYU,"BAIYU Holdings, Inc.",Other Industrial Metals & Mining,25329112
BZ,Kanzhun Limited,Staffing & Employment Services,6097724565
BZFD,"BuzzFeed, Inc.",Internet Content & Information,31168962
BZH,"Beazer Homes USA, Inc.",Residential Construction,1048468925
BZUN,Baozun Inc.,Internet Retail,87834712
C,Citigroup Inc.,Banks - Diversified,101129419200
CAAP,Corporación América Airports S.A.,Airports & Air Services,2541335200
CAAS,"China Automotive Systems, Inc.",Auto Parts,111687090
CABA,"Cabaletta Bio, Inc.",Biotechnology,877127218
CABO,"Cable One, Inc.",Telecom Services,3081394245
CAC,Camden National Corporation,Banks - Regional,541270158
CACC,Credit Acceptance Corporation,Credit Services,6772194630
CACI,CACI International Inc,Information Technology Services,7679003820
CACO,Caravelle International Group,Marine Shipping,24480275
CADE,Cadence Bank,Banks - Regional,5468592160
CADL,"Candel Therapeutics, Inc.",Biotechnology,38174136
CAE,CAE Inc.,Aerospace & Defense,6435500280
CAG,"Conagra Brands, Inc.",Packaged Foods,13733083650
CAH,"Cardinal Health, Inc.",Medical Distribution,25962939120
CAKE,The Cheesecake Factory Incorporated,Restaurants,1729331786
CAL,"Caleres, Inc.",Footwear & Accessories,1084947232
CALB,California BanCorp,Banks - Regional,201646939
CALM,"Cal-Maine Foods, Inc.",Farm Products,2696982727
CALT,Calliditas Therapeutics AB (publ),Biotechnology,625011395
CALX,"Calix, Inc.",Software - Application,2933057510
CAMP,CalAmp Corp.,Communication Equipment,6850769
CAMT,Camtek Ltd.,Semiconductor Equipment & Materials,3536961276
CAN,Canaan Inc.,Computer Hardware,307883284
CANF,Can-Fite BioPharma Ltd.,Biotechnology,9253740
CANG,Cango Inc.,Auto & Truck Dealerships,146879666
CANO,"Cano Health, Inc.",Medical Care Facilities,14543490
CAPL,CrossAmerica Partners LP,Oil & Gas Refining & Marketing,896108520
CAPR,"Capricor Therapeutics, Inc.",Biotechnology,127790535
CAPT,Captivision Inc.,Investment Holding Companies,135731885
CAR,"Avis Budget Group, Inc.",Rental & Leasing Services,6147479036
CARA,"Cara Therapeutics, Inc.",Biotechnology,30438367
CARE,"Carter Bankshares, Inc.",Banks - Regional,333088658
CARG,"CarGurus, Inc.",Internet Content & Information,2651801575
CARM,"Carisma Therapeutics, Inc.",Biotechnology,98874160
CARR,Carrier Global Corporation,Building Products & Equipment,47255127040
CARS,Cars.com Inc.,Auto & Truck Dealerships,1200076728
CART,Maplebear Inc.,Internet Retail,7613468720
CARV,"Carver Bancorp, Inc.",Banks - Regional,9787517
CASA,"Casa Systems, Inc.",Communication Equipment,40634690
CASH,"Pathward Financial, Inc.",Banks - Regional,1374775780
CASI,"CASI Pharmaceuticals, Inc.",Biotechnology,66740715
CASS,"Cass Information Systems, Inc.",Specialty Business Services,573228440
CASY,"Casey's General Stores, Inc.",Specialty Retail,10616399374
CAT,Caterpillar Inc.,Farm & Heavy Construction Machinery,146957566950
CATC,Cambridge Bancorp,Banks - Regional,548475410
CATO,The Cato Corporation,Apparel Retail,150065846
CATX,"Perspective Therapeutics, Inc.",Medical Devices,132176998
CATY,Cathay General Bancorp,Banks - Regional,3200910534
CAUD,Collective Audience Inc.,Software - Application,13200000
CAVA,"CAVA Group, Inc.",Restaurants,5436393470
CB,Chubb Limited,Insurance - Property & Casualty,97509610000
CBAN,"Colony Bankcorp, Inc.",Banks - Regional,228911040
CBAT,"CBAK Energy Technology, Inc.",Electrical Equipment & Parts,96646176
CBAY,"CymaBay Therapeutics, Inc.",Biotechnology,2720537970
CBD,Companhia Brasileira de Distribuição,Department Stores,229758733
CBFV,"CB Financial Services, Inc.",Banks - Regional,129143550
CBL,"CBL & Associates Properties, Inc.",REIT - Retail,777960773
CBNK,"Capital Bancorp, Inc.",Banks - Regional,324434240
CBOE,"Cboe Global Markets, Inc.",Financial Data & Stock Exchanges,13352541184
CBRE,"CBRE Group, Inc.",Real Estate Services,26641955431
CBRG,Chain Bridge I,Shell Companies,108615429
CBRL,"Cracker Barrel Old Country Store, Inc.",Restaurants,1684292792
CBSH,"Commerce Bancshares, Inc.",Banks - Regional,7186800155
CBT,Cabot Corporation,Specialty Chemicals,4168646867
CBU,"Community Bank System, Inc.",Banks - Regional,2702912928
CBUS,"Cibus, Inc.",Biotechnology,373142340
CBZ,"CBIZ, Inc.",Specialty Business Services,3234732820
CC,The Chemours Company,Specialty Chemicals,4417514880
CCAP,"Crescent Capital BDC, Inc.",Asset Management,617073975
CCB,Coastal Financial Corporation,Banks - Regional,561893376
CCBG,"Capital City Bank Group, Inc.",Banks - Regional,474487638
CCCC,"C4 Therapeutics, Inc.",Biotechnology,280901700
CCCS,CCC Intelligent Solutions Holdings Inc.,Software - Infrastructure,6640310644
CCEL,"Cryo-Cell International, Inc.",Medical Care Facilities,42925520
CCEP,Coca-Cola Europacific Partners PLC,Beverages - Non-Alcoholic,30793155060
CCG,Cheche Group Inc,Internet Content & Information,451561180
CCI,Crown Castle Inc.,REIT - Specialty,47168015640
CCJ,Cameco Corporation,Uranium,20035885700
CCK,"Crown Holdings, Inc.",Packaging & Containers,10960689100
CCL,Carnival Corporation & plc,Travel Services,20792558442
CCLD,"CareCloud, Inc.",Health Information Services,20629092
CCLP,CSI Compressco LP,Oil & Gas Equipment & Services,255591000
CCM,Concord Medical Services Holdings Limited,Medical Care Facilities,43378152
CCNE,CNB Financial Corporation,Banks - Regional,454945106
CCO,"Clear Channel Outdoor Holdings, Inc.",Advertising Agencies,845267500
CCOI,"Cogent Communications Holdings, Inc.",Telecom Services,3718261986
CCRD,CoreCard Corporation,Software - Application,100440284
CCRN,"Cross Country Healthcare, Inc.",Medical Care Facilities,800737502
CCS,"Century Communities, Inc.",Residential Construction,2890217616
CCSI,"Consensus Cloud Solutions, Inc.",Software - Infrastructure,382438044
CCTG,CCSC Technology International Holdings Limited,Computer Hardware,113650000
CCTS,Cactus Acquisition Corp. 1 Limited,Shell Companies,59922504
CCU,Compania Cervecerias Unidas S.A.,Beverages - Brewers,2180067700
CDAQ,Compass Digital Acquisition Corp.,Shell Companies,119820252
CDAY,Ceridian HCM Holding Inc.,Software - Application,10588533140
CDE,"Coeur Mining, Inc.",Gold,1067481855
CDIO,"Cardio Diagnostics Holdings, Inc.",Biotechnology,44932099
CDLR,Cadeler A/S,Marine Shipping,1400600000
CDLX,"Cardlytics, Inc.",Advertising Agencies,259077060
CDMO,"Avid Bioservices, Inc.",Biotechnology,416746328
CDNA,"CareDx, Inc",Diagnostics & Research,530705304
CDNS,"Cadence Design Systems, Inc.",Software - Application,80456895260
CDP,COPT Defense Properties,REIT - Office,5616098693
CDRE,"Cadre Holdings, Inc.",Aerospace & Defense,1236579400
CDRO,"Codere Online Luxembourg, S.A.",Gambling,163978398
CDT,Conduit Pharmaceuticals Inc.,Biotechnology,217058836
CDTX,"Cidara Therapeutics, Inc.",Biotechnology,64651124
CDW,CDW Corporation,Information Technology Services,30396863600
CDXC,ChromaDex Corporation,Biotechnology,102920428
CDXS,"Codexis, Inc.",Biotechnology,196222862
CDZI,Cadiz Inc.,Utilities - Regulated Water,182787592
CE,Celanese Corporation,Chemicals,15814454400
CEAD,CEA Industries Inc.,Farm & Heavy Construction Machinery,4369316
CECO,CECO Environmental Corp.,Pollution & Treatment Controls,667946417
CEG,Constellation Energy Corporation,Utilities - Renewable,37389990000
CEI,"Camber Energy, Inc.",Oil & Gas E&P,18075961
CEIX,CONSOL Energy Inc.,Thermal Coal,2975399905
CELC,Celcuity Inc.,Biotechnology,357239232
CELH,"Celsius Holdings, Inc.",Beverages - Non-Alcoholic,12198847125
CELU,Celularity Inc.,Biotechnology,59704234
CELZ,"Creative Medical Technology Holdings, Inc.",Biotechnology,5874053
CENN,Cenntro Electric Group Limited,Auto Manufacturers,35924982
CENT,Central Garden & Pet Company,Packaged Foods,2349032994
CENTA,Central Garden & Pet Company,Packaged Foods,2349032956
CENX,Century Aluminum Company,Aluminum,943451987
CEPU,Central Puerto S.A.,Utilities - Regulated Electric,2251327647
CERE,"Cerevel Therapeutics Holdings, Inc.",Biotechnology,7637153820
CERS,Cerus Corporation,Medical Devices,326154600
CERT,"Certara, Inc.",Health Information Services,2631048700
CET,Central Securities Corp.,Asset Management,1053032217
CETU,Cetus Capital Acquisition Corp.,Shell Companies,79084740
CETX,"Cemtrex, Inc.",Software - Infrastructure,3948094
CEVA,"CEVA, Inc.",Semiconductors,496432377
CF,"CF Industries Holdings, Inc.",Agricultural Inputs,14323468320
CFB,"CrossFirst Bankshares, Inc.",Banks - Regional,667480026
CFBK,CF Bankshares Inc.,Banks - Regional,142244802
CFFI,C&F Financial Corporation,Banks - Regional,191665374
CFFN,"Capitol Federal Financial, Inc.",Banks - Regional,830151600
CFFS,CF Acquisition Corp. VII,Shell Companies,209621205
CFG,"Citizens Financial Group, Inc.",Banks - Regional,15471084529
CFLT,"Confluent, Inc.",Software - Infrastructure,6896401792
CFR,Cullen Frost Bankers Inc.,Banks - Regional,6929907040
CFSB,"CFSB Bancorp, Inc.",Banks - Regional,48086655
CG,The Carlyle Group Inc.,Asset Management,14399368360
CGA,"China Green Agriculture, Inc.",Agricultural Inputs,29036553
CGAU,Centerra Gold Inc.,Gold,1165357800
CGBD,"Carlyle Secured Lending, Inc.",Asset Management,794432236
CGC,Canopy Growth Corporation,Drug Manufacturers - Specialty & Generic,365626044
CGEM,"Cullinan Oncology, Inc.",Biotechnology,530907246
CGEN,Compugen Ltd.,Biotechnology,164288592
CGNT,Cognyte Software Ltd.,Software - Infrastructure,444762416
CGNX,Cognex Corporation,Scientific & Technical Instruments,6582710080
CGTX,"Cognition Therapeutics, Inc.",Biotechnology,81268313
CHAA,Catcha Investment Corp,Shell Companies,108806410
CHCI,"Comstock Holding Companies, Inc.",Real Estate - Diversified,43667891
CHCO,City Holding Company,Banks - Regional,1594418500
CHCT,Community Healthcare Trust Incorporated,REIT - Healthcare Facilities,721961312
CHD,"Church & Dwight Co., Inc.",Household & Personal Products,24051810840
CHDN,Churchill Downs Incorporated,Gambling,9287798548
CHE,Chemed Corporation,Medical Care Facilities,9103955366
CHEA,Chenghe Acquisition Co.,Shell Companies,124778993
CHEF,"The Chefs' Warehouse, Inc.",Food Distribution,1234777676
CHEK,Check-Cap Ltd.,Diagnostics & Research,12812288
CHGG,"Chegg, Inc.",Education & Training Services,1158150000
CHH,"Choice Hotels International, Inc.",Lodging,5778629544
CHK,Chesapeake Energy Corporation,Oil & Gas E&P,9850171375
CHKP,Check Point Software Technologies Ltd.,Software - Infrastructure,19208403720
CHMG,Chemung Financial Corporation,Banks - Regional,233723454
CHMI,Cherry Hill Mortgage Investment Corporation,REIT - Mortgage,102516780
CHNR,"China Natural Resources, Inc.",Waste Management,10165396
CHPT,"ChargePoint Holdings, Inc.",Specialty Retail,819334880
CHR,"Cheer Holding, Inc.",Advertising Agencies,19600000
CHRD,Chord Energy Corporation,Oil & Gas E&P,6214875904
CHRS,"Coherus BioSciences, Inc.",Biotechnology,287319120
CHRW,"C.H. Robinson Worldwide, Inc.",Integrated Freight & Logistics,10163801630
CHSN,Chanson International Holding,Restaurants,13876800
CHT,"Chunghwa Telecom Co., Ltd.",Telecom Services,29330918450
CHTR,"Charter Communications, Inc.",Telecom Services,55196348000
CHUY,"Chuy's Holdings, Inc.",Restaurants,588253140
CHWY,"Chewy, Inc.",Internet Retail,8472812799
CHX,ChampionX Corporation,Oil & Gas Equipment & Services,5230380000
CI,Cigna Corporation,Healthcare Plans,89257878600
CIA,"Citizens, Inc.",Insurance - Life,132305175
CIB,Bancolombia S.A.,Banks - Regional,7608059227
CIEN,Ciena Corporation,Communication Equipment,7518125300
CIFR,Cipher Mining Inc.,Capital Markets,718141200
CIG,Cia Energetica DE Minas Gerais - Cemig,Utilities - Diversified,5624684132
CIGI,Colliers International Group Inc.,Real Estate Services,5405234156
CIM,Chimera Investment Corporation,REIT - Mortgage,1117936660
CINF,Cincinnati Financial Corporation,Insurance - Property & Casualty,17565850600
CING,Cingulate Inc.,Biotechnology,6083467
CINT,CI&T Inc,Software - Infrastructure,645152577
CIO,"City Office REIT, Inc.",REIT - Office,221259005
CION,CION Investment Corporation,Asset Management,612729045
CISO,CISO Global Inc,Software - Infrastructure,17837424
CISS,C3is Inc.,Marine Shipping,1023741
CITE,Cartica Acquisition Corp,Shell Companies,109010689
CIVB,"Civista Bancshares, Inc.",Banks - Regional,276406560
CIVI,"Civitas Resources, Inc.",Oil & Gas E&P,6104680890
CIX,CompX International Inc.,Security & Protection Services,276567948
CJET,"Chijet Motor Company, Inc.",Auto Manufacturers,108932297
CJJD,"China Jo-Jo Drugstores, Inc.",Pharmaceutical Retailers,6044833
CKPT,"Checkpoint Therapeutics, Inc.",Biotechnology,41999840
CKX,"CKX Lands, Inc.",Oil & Gas E&P,25963557
CL,Colgate-Palmolive Company,Household & Personal Products,66215576240
CLAR,Clarus Corporation,Leisure,241485702
CLB,Core Laboratories N.V.,Oil & Gas Equipment & Services,721879620
CLBK,"Columbia Financial, Inc.",Banks - Regional,2031154400
CLBR,Colombier Acquisition Corp. II,Shell Companies,217781250
CLBT,Cellebrite DI Ltd.,Software - Infrastructure,1762496240
CLCO,Cool Company Ltd.,Marine Shipping,652314813
CLDI,"Calidi Biotherapeutics, Inc.",Biotechnology,34651230
CLDT,Chatham Lodging Trust,REIT - Hotel & Motel,531584832
CLDX,"Celldex Therapeutics, Inc.",Biotechnology,2185380432
CLEU,China Liberal Education Holdings Limited,Education & Training Services,8696583
CLF,Cleveland-Cliffs Inc.,Steel,9127886880
CLFD,"Clearfield, Inc.",Communication Equipment,385532512
CLGN,CollPlant Biotechnologies Ltd.,Biotechnology,60012148
CLH,"Clean Harbors, Inc.",Waste Management,9362338530
CLIR,ClearSign Technologies Corporation,Pollution & Treatment Controls,40879748
CLLS,Cellectis S.A.,Biotechnology,196598288
CLMB,"Climb Global Solutions, Inc.",Electronics & Computer Distribution,253024558
CLMT,"Calumet Specialty Products Partners, L.P.",Oil & Gas E&P,1283476770
CLNE,Clean Energy Fuels Corp.,Oil & Gas Refining & Marketing,724824750
CLNN,Clene Inc.,Biotechnology,60073005
CLOE,Clover Leaf Capital Corp.,Shell Companies,65722704
CLOV,"Clover Health Investments, Corp.",Healthcare Plans,460774772
CLPR,Clipper Realty Inc.,REIT - Residential,81922315
CLPS,CLPS Incorporation,Information Technology Services,24680352
CLPT,"ClearPoint Neuro, Inc.",Medical Devices,191055856
CLRB,"Cellectar Biosciences, Inc.",Biotechnology,44729412
CLRC,ClimateRock,Shell Companies,52050374
CLRO,"ClearOne, Inc.",Communication Equipment,23960700
CLS,Celestica Inc.,Electronic Components,3763641280
CLSD,"Clearside Biomedical, Inc.",Biotechnology,74890680
CLSK,"CleanSpark, Inc.",Software - Application,1311725000
CLST,"Catalyst Bancorp, Inc.",Banks - Regional,57134417
CLVR,Clever Leaves Holdings Inc.,Drug Manufacturers - Specialty & Generic,4921326
CLVT,Clarivate Plc,Information Technology Services,6108091600
CLW,Clearwater Paper Corporation,Paper & Paper Products,565471062
CLWT,Euro Tech Holdings Company Limited,Pollution & Treatment Controls,10980764
CLX,The Clorox Company,Household & Personal Products,17708181660
CM,Canadian Imperial Bank of Commerce,Banks - Diversified,42369281500
CMA,Comerica Incorporated,Banks - Regional,7077623856
CMAX,"CareMax, Inc.",Health Information Services,50295066
CMBM,Cambium Networks Corporation,Communication Equipment,116746722
CMC,Commercial Metals Company,Steel,5907854880
CMCA,Capitalworks Emerging Markets Acquisition Corp,Shell Companies,109782388
CMCL,Caledonia Mining Corporation Plc,Gold,207876435
CMCM,Cheetah Mobile Inc.,Internet Content & Information,66675790
CMCO,Columbus McKinnon Corporation,Farm & Heavy Construction Machinery,1089748752
CMCSA,Comcast Corporation,Telecom Services,175162216800
CMCT,Creative Media & Community Trust Corporation,REIT - Office,83171455
CME,CME Group Inc.,Financial Data & Stock Exchanges,73175167300
CMG,"Chipotle Mexican Grill, Inc.",Restaurants,63808927500
CMI,Cummins Inc.,Specialty Industrial Machinery,33151320600
CMLS,Cumulus Media Inc.,Broadcasting,94263801
CMMB,Chemomab Therapeutics Ltd.,Biotechnology,6384717
CMND,Clearmind Medicine Inc.,Biotechnology,1710082
CMP,"Compass Minerals International, Inc.",Other Industrial Metals & Mining,858404300
CMPO,"CompoSecure, Inc.",Metal Fabrication,414769772
CMPR,Cimpress plc,Advertising Agencies,1984411700
CMPS,COMPASS Pathways plc,Medical Care Facilities,496934803
CMPX,"Compass Therapeutics, Inc.",Biotechnology,184854700
CMRE,Costamare Inc.,Marine Shipping,1298540660
CMRX,"Chimerix, Inc.",Biotechnology,82668909
CMS,CMS Energy Corporation,Utilities - Regulated Electric,16510924760
CMT,"Core Molding Technologies, Inc.",Specialty Chemicals,165896845
CMTG,"Claros Mortgage Trust, Inc.",REIT - Mortgage,1756305215
CMTL,Comtech Telecommunications Corp.,Communication Equipment,220997040
CNA,CNA Financial Corporation,Insurance - Property & Casualty,12013128850
CNC,Centene Corporation,Healthcare Plans,40155889170
CNDA,Concord Acquisition Corp II,Shell Companies,226346186
CNDB,Concord Acquisition Corp III,Shell Companies,133203427
CNDT,Conduent Incorporated,Information Technology Services,803961900
CNET,ZW Data Action Technologies Inc.,Advertising Agencies,6051788
CNEY,CN Energy Group. Inc.,Specialty Chemicals,7162547
CNF,CNFinance Holdings Limited,Mortgage Finance,155681508
CNFR,"Conifer Holdings, Inc.",Insurance - Property & Casualty,15889770
CNGL,Canna-Global Acquisition Corp,Shell Companies,98952657
CNHI,CNH Industrial N.V.,Farm & Heavy Construction Machinery,15606530400
CNI,Canadian National Railway Company,Railroads,80794098000
CNK,"Cinemark Holdings, Inc.",Entertainment,1754875590
CNM,"Core & Main, Inc.",Industrial Distribution,8621052244
CNMD,CONMED Corporation,Medical Devices,3071529736
CNNE,"Cannae Holdings, Inc.",Restaurants,1439696320
CNO,"CNO Financial Group, Inc.",Insurance - Life,3121718930
CNOB,"ConnectOne Bancorp, Inc.",Banks - Regional,915743808
CNP,"CenterPoint Energy, Inc.",Utilities - Regulated Electric,17339723280
CNQ,Canadian Natural Resources Limited,Oil & Gas E&P,67532183800
CNS,"Cohen & Steers, Inc.",Asset Management,3386632312
CNSL,"Consolidated Communications Holdings, Inc.",Telecom Services,510082880
